system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.020510646,5.139192927138366,0.074612559,0.6614089474793822,2.9566435445006727,0.7089007643866605,-0.463334571,0,low
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000150614,2.751646724988411,0.0920466,0.6327150819585585,0.083723755,-2.022782326,-0.426246468,0,low
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001810792,2.881051732462819,0.094832189,0.5926277663982836,0.8276724245363725,-2.268996226,-0.766966315,0,low
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.021503918332324998,5.139192927138366,0.074612559,0.6614089474793822,2.9566435445006727,0.7089007643866605,-0.463334571,1,low
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.000260994,2.7334188084521047,0.093333333,0.5777281649798306,0.38010646107768115,-2.000444607,-0.695169333,1,low
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.000895435,2.625493757488508,0.097594654,1.9693593412882877,4.7061228071617816,1.156449903090194,-2.630433858,1,low
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.019613923066879993,5.139192927138366,0.074612559,0.6614089474793822,2.9566435445006727,0.7089007643866605,-0.463334571,2,low
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.000161946,2.537541257974968,0.097594654,1.1118186081471382,1.652853820874038,-1.407085804,-2.669158325,2,low
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.00150332,2.625493757488508,0.097594654,1.1409126238071086,-1.513431167,-2.017739881,1.1534920533706323,2,low
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.025961116038144005,5.139192927138366,0.074612559,0.6614089474793822,2.9566435445006727,0.7089007643866605,-0.463334571,3,low
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.000248441,2.661188193,0.074711843,0.553346471,0.5032155724662735,-1.936065568,-0.888987519,3,low
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.000195727,2.5549815831082006,0.097594654,2.077665597068444,-4.899056101,1.6736047179909552,1.1227117037907668,3,low
2,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.00017391,1.3140168343783878,0.066897748,0.6412740312947304,4.248654710822288,2.854294275762219,-4.279730325,0,low
2,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",9.867331487999994e-05,0.936825637,0.027357938,0.6950708607374859,-5.587225483,-0.263971005,-0.763945971,0,low
2,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.024827997875870995,2.4685566630372247,0.097608594,0.6046902042416439,1.031035541000463,-0.441971164,-3.593123675,0,low
2,1,"[[0, 1, 5], [2, 3, 4], [6, 7, 8]]",5.580439996600004e-05,1.422672516009615,0.097474276,0.8910749867028197,4.2136306924473965,2.4578219397016037,-3.662004043,1,low
2,2,"[[0, 1, 5], [2, 3, 4], [6, 7, 8]]",3.674815221000002e-05,0.8143854644632387,0.092436164,1.0723865646325579,0.2319627747958588,-3.074937372,-2.427978488,1,low
